"word","Used"
"aardvark" , 0
"aasvogel" , 0
"salvages" , 0
"abampere" , 0
"basement" , 0
"emanates" , 0
"manatees" , 0
"entameba" , 0
"abetment" , 0
"batistes" , 0
"satiates" , 0
"abatises" , 0
"airboats" , 0
"abattoir" , 0
"cobbiest" , 0
"iceboats" , 0
"abdicate" , 0
"abdomina" , 0
"abducing" , 0
"abductor" , 0
"abelmosk" , 0
"smokable" , 0
"narrates" , 0
"antbears" , 0
"ratsbane" , 0
"aberrant" , 0
"bartered" , 0
"abeyance" , 0
"banisher" , 0
"abhorrer" , 0
"harborer" , 0
"abidance" , 0
"sibilate" , 0
"biogenic" , 0
"ibogaine" , 0
"alations" , 0
"sailboat" , 0
"ablation" , 0
"aestival" , 0
"salivate" , 0
"labiates" , 0
"satiable" , 0
"ablative" , 0
"stealage" , 0
"eatables" , 0
"ablegate" , 0
"botulins" , 0
"butanols" , 0
"bailouts" , 0
"taboulis" , 0
"ablution" , 0
"abutilon" , 0
"abnegate" , 0
"abrogate" , 0
"baronage" , 0
"abnormal" , 0
"aboideau" , 0
"aboiteau" , 0
"airholes" , 0
"shoalier" , 0
"bolshies" , 0
"libation" , 0
"boltonia" , 0
"lobation" , 0
"oblation" , 0
"biotrons" , 0
"orations" , 0
"taborins" , 0
"abortion" , 0
"bounding" , 0
"arabicas" , 0
"abrachia" , 0
"saraband" , 0
"abradant" , 0
"abrasion" , 0
"abrosias" , 0
"abrasive" , 0
"acerated" , 0
"acerbate" , 0
"abridges" , 0
"brigades" , 0
"braiders" , 0
"abridger" , 0
"bridging" , 0
"braiding" , 0
"teaboard" , 0
"tagboard" , 0
"sabotage" , 0
"upstater" , 0
"abutters" , 0
"biassing" , 0
"abscisin" , 0
"abscises" , 0
"abscissa" , 0
"endosarc" , 0
"bandores" , 0
"broadens" , 0
"brocades" , 0
"singable" , 0
"absentee" , 0
"assenter" , 0
"earnests" , 0
"sarsenet" , 0
"absenter" , 0
"bareness" , 0
"antigens" , 0
"gentians" , 0
"beatings" , 0
"bantengs" , 0
"anthesis" , 0
"shanties" , 0
"sheitans" , 0
"sthenias" , 0
"absinthe" , 0
"banishes" , 0
"banshies" , 0
"basinets" , 0
"bassinet" , 0
"absinths" , 0
"rosulate" , 0
"baluster" , 0
"rustable" , 0
"saboteur" , 0
"bloaters" , 0
"sortable" , 0
"storable" , 0
"rubeolas" , 0
"absolute" , 0
"sublates" , 0
"sabulose" , 0
"absolver" , 0
"absolves" , 0
"salvoing" , 0
"baronets" , 0
"baseborn" , 0
"absorber" , 0
"reabsorb" , 0
"rabbonis" , 0
"tabanids" , 0
"banister" , 0
"barniest" , 0
"antisera" , 0
"ratanies" , 0
"seatrain" , 0
"bartisan" , 0
"restaged" , 0
"breasted" , 0
"debaters" , 0
"absterge" , 0
"restages" , 0
"stannite" , 0
"abstract" , 0
"astricts" , 0
"abstrict" , 0
"abstruse" , 0
"dabsters" , 0
"bustards" , 0
"surbased" , 0
"disturbs" , 0
"building" , 0
"nutmeats" , 0
"abutment" , 0
"camisade" , 0
"academia" , 0
"academic" , 0
"academes" , 0
"acalephe" , 0
"pleaches" , 0
"acalephs" , 0
"acrasias" , 0
"sandarac" , 0
"arcadias" , 0
"acaridan" , 0
"arcadian" , 0
"enacting" , 0
"ancestor" , 0
"enactors" , 0
"ectosarc" , 0
"coenacts" , 0
"cosecant" , 0
"accentor" , 0
"canulate" , 0
"lacunate" , 0
"tenacula" , 0
"acutance" , 0
